subject,predicate,object,root,synonyms
protein fragments of arbitrary size,is described,highly optimized search method,describe,"{'describe', 'distinguish', 'account', 'trace', 'name', 'draw', 'line', 'depict', 'delineate', 'identify', 'key', 'discover', 'report'}"
fragments into molecules,is,standard step,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
hydrogen bonds,are,mdash H,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
O hydrogen bonds,are,N mdash H,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Structure refinement,was,diffraction intensities,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Structure refinement,made,diffraction intensities,make,"{'produce', 'stimulate', 'draw', 'create', 'do', 'induce', 'make', 'cause'}"
diffraction intensities,were,energy spectrum,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Structure refinement of hexagonal GeO2,was,energy spectrum of the incident radiation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Structure refinement of hexagonal GeO2,made,energy spectrum of the incident radiation,make,"{'produce', 'stimulate', 'draw', 'create', 'do', 'induce', 'make', 'cause'}"
Structure refinement of hexagonal GeO2,were,energy spectrum of the incident radiation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
angle between tetrahedra,is,bulk volume,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
bulk modulus,has been,volumetric compressibility,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
bulk modulus,calculated,volumetric compressibility,calculate,"{'estimate', 'account', 'cipher', 'cypher', 'depend', 'compute', 'figure', 'forecast', 'count', 'reckon', 'bet', 'calculate', 'aim'}"
bulk modulus of the two polymorphs,has been,basis of the volumetric compressibility,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
bulk modulus of the two polymorphs,calculated,basis of the volumetric compressibility,calculate,"{'estimate', 'account', 'cipher', 'cypher', 'depend', 'compute', 'figure', 'forecast', 'count', 'reckon', 'bet', 'calculate', 'aim'}"
transmission electron,required,electron diffraction,require,"{'command', 'involve', 'compel', 'demand', 'ask', 'want', 'postulate', 'take', 'expect', 'require', 'necessitate', 'need'}"
Timepix detector,combines,dynamic range,combine,"{'combine', 'meld', 'conflate', 'unite', 'aggregate', 'fuse', 'commingle', 'blend', 'coalesce', 'flux', 'merge', 'compound', 'immix', 'mix'}"
novel Timepix detector,combines,high dynamic range,combine,"{'combine', 'meld', 'conflate', 'unite', 'aggregate', 'fuse', 'commingle', 'blend', 'coalesce', 'flux', 'merge', 'compound', 'immix', 'mix'}"
s minus 1,were collected,room temperature,collect,"{'gather', 'compile', 'collect', 'hoard', 'amass', 'accumulate', 'garner'}"
Aring  minus 2 emsp14 s minus 1,were collected,room temperature with the rotation method,collect,"{'gather', 'compile', 'collect', 'hoard', 'amass', 'accumulate', 'garner'}"
structure solution,using,direct methods,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
anisotropic scale,is,increasing importance,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Current protocols,require,manual inspection,require,"{'command', 'involve', 'compel', 'demand', 'ask', 'want', 'postulate', 'take', 'expect', 'require', 'necessitate', 'need'}"
recent years,have,advanced research and development,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
usual crystallization process,evaluate,protein crystallization growth,evaluate,"{'valuate', 'appraise', 'measure', 'assess', 'evaluate', 'value'}"
feature extraction,using,texture analysis,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
categorization process,using,discriminant analysis,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
performance of this method,has been,human expert,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
performance of this method,evaluated,human expert,evaluate,"{'valuate', 'appraise', 'measure', 'assess', 'evaluate', 'value'}"
performance of this method,comparing,human expert,compare,"{'liken', 'compare', 'equate'}"
performance of this method,using,human expert,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
Bragg angles,is shown,precise values,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
Bragg angles,give,precise values,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
Bragg angles of a standard,is shown,precise values of lattice parameters,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
Bragg angles of a standard,give,precise values of lattice parameters,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
lattice parameter of tungsten,is,SRM 640b silicon standard,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
lattice parameter of tungsten,is determined,SRM 640b silicon standard,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
programmable interfaces,simplifies,diffractometer control,simplify,{'simplify'}
control units,is reduced,structure of the circuits,reduce,"{'trim', 'cut', 'reduce', 'shrink'}"
control units,is,structure of the circuits,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
intelligent multipurpose,unburden,personal computer,unburden,"{'disburden', 'unburden'}"
polycrystalline systems,using,very short times,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
weight estimates,were compared,data acquisition,compare,"{'liken', 'compare', 'equate'}"
weight estimates,obtained,data acquisition,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}"
weight estimates,using,data acquisition,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
results of the refinements,show,estimated weights,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
variable slits,are used,slightly decreases,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
outcome of this work,is,very important step,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
lang 110 rang  ,have been,edge dislocations,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Dislocations in the  lang 110 rang  ,have been,edge dislocations with Burgers vector,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
edge dislocations shown in this paper,is,spiral growth steps,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
presence of edge dislocations shown in this paper,is,spiral growth steps previously reported,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
protein crystals,has been,surface techniques,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
protein crystals,observed,surface techniques,observe,"{'honour', 'respect', 'celebrate', 'find', 'note', 'honor', 'mention', 'detect', 'keep', 'remark', 'observe', 'notice', 'watch', 'discover'}"
Various aspects,were explored,direct comparison,explore,"{'explore', 'research', 'search'}"
Various aspects of the PDF,were explored,either qualitatively by direct comparison,explore,"{'explore', 'research', 'search'}"
Al atoms,are compared,experimental measurements,compare,"{'liken', 'compare', 'equate'}"
Structure factors,are determined,prior reports,determine,"{'decide', 'settle', 'mold', 'ascertain', 'shape', 'find', 'see', 'fix', 'specify', 'influence', 'limit', 'regulate', 'learn', 'watch', 'set', 'determine'}"
Structure factors,compared,prior reports,compare,"{'liken', 'compare', 'equate'}"
crystal surface,is,angle  beta,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystal surface,diffracted,angle  beta,diffract,{'diffract'}
crystal surface,leaves,angle  beta,leaf,"{'thumb', 'riff', 'flick', 'flip', 'leaf', 'riffle'}"
general case of Bragg diffraction,is,planes inclined to the surface by  ,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
general case of Bragg diffraction,diffracted,planes inclined to the surface by  ,diffract,{'diffract'}
sigma  and  tau  ,are,dihedral angles,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
grain boundaries,allows,dislocation structure,allow,"{'appropriate', 'countenance', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve', 'provide', 'earmark', 'let'}"
coincidence orientation for grain boundaries,allows,intergranular dislocation structure,allow,"{'appropriate', 'countenance', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve', 'provide', 'earmark', 'let'}"
hexagonal symmetry,be split,pure rotation and a deformation,split,"{'split', 'burst', 'cleave', 'separate', 'rive', 'divide', 'part', 'dissever'}"
rotation  ndash  ,depends,Kikuchi lines,depend,"{'depend', 'count', 'reckon', 'bet', 'calculate'}"
rotation  ndash  axis,depends,sharpness of the Kikuchi lines,depend,"{'depend', 'count', 'reckon', 'bet', 'calculate'}"
aromatic rings,are,dihedral angles,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
C mdash H,is,N mdash H,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,displays,dinuclear structure,display,"{'expose', 'exhibit', 'show', 'reveal', 'display'}"
title compound,is,dinuclear structure,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
dinuclear structure,is,pyramidal coordination,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
flexible ligand,is,bridging mode,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
central CuII atom,is,pyramidal coordination geometry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
pyrazole ring,is,maximum deviation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
adjacent molecules,are connected,C mdash,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
title compound,is,lone pair,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
TeIV atom in the title compound,is,ndash bipyramidal geometry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
primary connections,are,C mdash,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
primary connections between layers,are,C mdash H,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title complex,consists,extended layers,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
O atom,are situated,rotation axis,situate,"{'posit', 'deposit', 'situate', 'locate'}"
isoxazole ring,is,phenyl ring,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
asymmetric unit of the title compound,contains,two independent molecules with different conformations,contain,"{'control', 'hold', 'contain', 'incorporate', 'check', 'stop', 'bear', 'arrest', 'curb', 'moderate', 'comprise', 'carry'}"
hydroxy group,is involved,mdash H,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
title molecule,has,envelope conformation,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
title compound,adopts,tetrahedral geometry,adopt,"{'embrace', 'dramatise', 'borrow', 'assume', 'adopt', 'acquire', 'take', 'dramatize', 'follow', 'espouse'}"
most noticeable distortion,being,O mdash,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
distorted tetrahedral geometry,being,O mdash P mdash,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
distorted tetrahedral geometry at the P atom,being,O mdash P mdash N angle,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
O interactions,create,infinite chains,create,"{'create', 'produce', 'make'}"
benzene rings,are oriented,ring system,orient,"{'orient', 'orientate', 'point'}"
benzene rings,are,ring system,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
pi  interactions,are,crystal structure,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,displays,a trans conformation,display,"{'expose', 'exhibit', 'show', 'reveal', 'display'}"
central atoms,are,aromatic rings,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
asymmetric unit,consists,Cu ion,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
dimeric units,are linked,mdash H,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
CuII ion,is,four N atoms,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
triazole compound,are connected,centrosymmetric dimers,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
title triazole compound,are connected,N mdash H,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
crystal structure of the title triazole compound,are connected,pairs of N mdash H,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
title compound,has,syn configuration,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
syn configuration,is,indole plane,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
ester group,is twisted,acetylsalicylic acid,twist,"{'distort', 'convolute', 'sprain', 'twine', 'writhe', 'wrench', 'squirm', 'twist', 'pervert', 'sophisticate', 'bend', 'flex', 'worm', 'wrestle', 'deform', 'wriggle', 'rick', 'wrick'}"
title compound,has been,potential ligand,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,synthesized,potential ligand,synthesize,"{'synthesize', 'synthesise'}"
large voids,contain,solvent molecules,contain,"{'control', 'hold', 'contain', 'incorporate', 'check', 'stop', 'bear', 'arrest', 'curb', 'moderate', 'comprise', 'carry'}"
molecular conformation,is stabilized,mdash H,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
title compound,represents,meso isomer,represent,"{'interpret', 'defend', 'represent', 'typify', 'be', 'symbolize', 'symbolise', 'comprise', 'correspond', 'constitute', 'exemplify'}"
supramolecular architecture,is stabilized,C mdash,stabilize,"{'brace', 'steady', 'stabilise', 'stabilize'}"
title compound,consists,independent molecules,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
independent molecules,are,mdash H,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
ZnII ion,is coordinated,O atoms,coordinate,"{'coordinate', 'organise', 'align', 'ordinate', 'organize'}"
hydrogen bonds,link,supramolecular structure,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
thermodynamically stable product,is,kinetically favoured product,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
double kink,is,previous models,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
external action,is assumed,barrier reaction,assume,"{'arrogate', 'feign', 'adopt', 'assume', 'acquire', 'take', 'don', 'bear', 'sham', 'presume', 'usurp', 'simulate', 'seize', 'accept', 'wear'}"
external action,be,barrier reaction,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
force of external action,is assumed,Peierls barrier reaction,assume,"{'arrogate', 'feign', 'adopt', 'assume', 'acquire', 'take', 'don', 'bear', 'sham', 'presume', 'usurp', 'simulate', 'seize', 'accept', 'wear'}"
force of external action,be,Peierls barrier reaction,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
diffraction vectors,forms,isosceles triangle,form,"{'forge', 'spring', 'form', 'mold', 'shape', 'organise', 'mould', 'imprint', 'constitute', 'organize'}"
polarization factors,are given,trigonometric form,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
title compound,is,octahedral environment,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Sn atom in the title compound,is,ndash C2SnS4 octahedral environment,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,consists,mandelic acid,consist,"{'lie', 'consist', 'dwell', 'comprise', 'belong'}"
The bridging bpe ligand,is arranged,mdash C bond,arrange,"{'order', 'coiffure', 'format', 'arrange', 'stage', 'coif', 'put'}"
ZnII ion,is,O atoms,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
ZnII ion,constructed,O atoms,construct,"{'manufacture', 'construct', 'build', 'fabricate', 'retrace', 'reconstruct'}"
geometry around the ZnII ion,is,Hopa minus  ligands,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
geometry around the ZnII ion,constructed,Hopa minus  ligands,construct,"{'manufacture', 'construct', 'build', 'fabricate', 'retrace', 'reconstruct'}"
cation and anion,are,centres of symmetry,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
cation and anion,located,centres of symmetry,locate,"{'place', 'settle', 'site', 'situate', 'locate'}"
ReV atom,adopts,octahedral coordination,adopt,"{'embrace', 'dramatise', 'borrow', 'assume', 'adopt', 'acquire', 'take', 'dramatize', 'follow', 'espouse'}"
periods of the undulator,is,finite emittance,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
number of periods of the undulator,is,finite emittance of the electron beam and,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
simple scheme,is proposed,optical phase,propose,"{'suggest', 'nominate', 'propose', 'advise', 'purport', 'purpose', 'project', 'aim'}"
simple scheme,is divided,optical phase,divide,"{'disunite', 'split', 'separate', 'divide', 'part', 'fraction', 'dissever'}"
simple scheme,is,optical phase,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
optical phase,is,fundamental energy,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
optical phase,is adjusted,fundamental energy,adjust,"{'adjust', 'aline', 'correct', 'align', 'conform', 'adapt'}"
optical phase,shift,fundamental energy,shift,"{'agitate', 'tilt', 'pitch', 'shift', 'lurch', 'wobble', 'careen', 'dislodge', 'reposition', 'budge', 'stir', 'switch', 'transfer'}"
polydisperse systems,be evaluated,all particles have the same shape,evaluate,"{'valuate', 'appraise', 'measure', 'assess', 'evaluate', 'value'}"
polydisperse systems,be,all particles have the same shape,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
number of particles,be computed,transformation method,compute,"{'cipher', 'cypher', 'compute', 'figure', 'reckon', 'calculate'}"
The corresponding size distribution function,be computed,unsmoothed scattering data,compute,"{'cipher', 'cypher', 'compute', 'figure', 'reckon', 'calculate'}"
real space,is given,B spline,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
resolution in real space,is given,B spline functions,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
B spline functions,approximating,size distribution function,approximate,"{'estimate', 'approximate', 'judge', 'gauge', 'guess'}"
statistical error,be computed,inverted matrix,compute,"{'cipher', 'cypher', 'compute', 'figure', 'reckon', 'calculate'}"
statistical error,using,inverted matrix,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
statistical error band,be computed,inverted matrix of the normal equations,compute,"{'cipher', 'cypher', 'compute', 'figure', 'reckon', 'calculate'}"
statistical error band,using,inverted matrix of the normal equations,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
satisfactory results,is,analytical methods,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
title compound,comprises,thiazolium base,comprise,"{'contain', 'be', 'represent', 'incorporate', 'consist', 'comprise', 'constitute'}"
title compound,comprises,planar molecules,comprise,"{'contain', 'be', 'represent', 'incorporate', 'consist', 'comprise', 'constitute'}"
CuII atom,is located,inversion center,locate,"{'place', 'settle', 'site', 'situate', 'locate'}"
CuII atom,is,inversion center,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
inversion center,is,N atoms,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
inversion center,is chelated,N atoms,chelate,{'chelate'}
phase information,is,measured reflectivity,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
phase information,build,measured reflectivity,build,"{'construct', 'establish', 'build', 'progress'}"
phase information,be used,measured reflectivity,use,"{'expend', 'use', 'employ', 'utilize', 'habituate', 'utilise', 'practice', 'apply'}"
calculated intensity,are,commercial silicon,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
calculated intensity,is compared,commercial silicon,compare,"{'liken', 'compare', 'equate'}"
corrected calculated intensity,are,commercial silicon wafer,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
corrected calculated intensity,is compared,commercial silicon wafer,compare,"{'liken', 'compare', 'equate'}"
title compound,exists,E isomer,exist,"{'exist', 'survive', 'be', 'subsist', 'live'}"
title compound,is,E isomer,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
Cl minus,has,mdash H,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
middot Cl minus,has,N mdash H,have,"{'ingest', 'give', 'hold', 'get', 'receive', 'undergo', 'own', 'have', 'experience', 'possess', 'feature', 'let', 'consume'}"
crystal structure,shows,the molecule to be planar,show,"{'shew', 'prove', 'reveal', 'display', 'show', 'depict', 'express', 'point', 'establish', 'exhibit', 'render', 'demo', 'demonstrate', 'testify', 'picture', 'evidence', 'evince', 'indicate', 'present'}"
title compound,are connected,infinite chains,connect,"{'colligate', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
simulation method,is applied,real structure,apply,"{'use', 'employ', 'utilize', 'utilise', 'practice', 'apply', 'enforce', 'implement'}"
simulation method,is,real structure,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
videographic simulation method,is applied,real structure configuration,apply,"{'use', 'employ', 'utilize', 'utilise', 'practice', 'apply', 'enforce', 'implement'}"
videographic simulation method,is,real structure configuration,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
partial order,contains,domain configurations,contain,"{'control', 'hold', 'contain', 'incorporate', 'check', 'stop', 'bear', 'arrest', 'curb', 'moderate', 'comprise', 'carry'}"
structure variants,allows,quantitative description,allow,"{'appropriate', 'countenance', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve', 'provide', 'earmark', 'let'}"
different combination probabilities,allows,real configuration of the AuCu3 structure,allow,"{'appropriate', 'countenance', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve', 'provide', 'earmark', 'let'}"
lithium oxide,have been,Hartree ndash,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
lithium oxide,investigated,Hartree ndash,investigate,"{'enquire', 'investigate', 'inquire'}"
crystalline lithium oxide,have been,Hartree ndash Fock approximation,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
crystalline lithium oxide,investigated,Hartree ndash Fock approximation,investigate,"{'enquire', 'investigate', 'inquire'}"
structure factors,are calculated,factors of O2 minus  and,calculate,"{'estimate', 'account', 'cipher', 'cypher', 'depend', 'compute', 'figure', 'forecast', 'count', 'reckon', 'bet', 'calculate', 'aim'}"
structure factors,are,factors of O2 minus  and,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
S2 minus  ions,are,theoretical model,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
S2 minus  ions,are deduced,theoretical model,deduce,"{'infer', 'deduce', 'deduct', 'derive'}"
S2 minus  ions,following,theoretical model,follow,"{'adopt', 'follow', 'postdate', 'comply', 'espouse'}"
static structure factors,are calculated,standard scattering curves,calculate,"{'estimate', 'account', 'cipher', 'cypher', 'depend', 'compute', 'figure', 'forecast', 'count', 'reckon', 'bet', 'calculate', 'aim'}"
static structure factors,are deduced,standard scattering curves,deduce,"{'infer', 'deduce', 'deduct', 'derive'}"
static structure factors,following,standard scattering curves,follow,"{'adopt', 'follow', 'postdate', 'comply', 'espouse'}"
scientific highlights,is given,experimental programmes,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
scientific highlights,taken,experimental programmes,take,"{'need', 'involve', 'adopt', 'convey', 'require', 'occupy', 'read', 'guide', 'assume', 'postulate', 'acquire', 'take', 'ask', 'direct', 'lead', 'demand', 'conduct', 'bring', 'necessitate'}"
selection of scientific highlights,is given,the experimental programmes in which the author was involved,give,"{'give', 'throw', 'hold', 'pay', 'gift', 'have', 'yield', 'present', 'afford'}"
selection of scientific highlights,taken,the experimental programmes in which the author was involved,take,"{'need', 'involve', 'adopt', 'convey', 'require', 'occupy', 'read', 'guide', 'assume', 'postulate', 'acquire', 'take', 'ask', 'direct', 'lead', 'demand', 'conduct', 'bring', 'necessitate'}"
substituent ring,is,steric influence,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
piperidine ring,adopts,chair conformation,adopt,"{'embrace', 'dramatise', 'borrow', 'assume', 'adopt', 'acquire', 'take', 'dramatize', 'follow', 'espouse'}"
cation and anion,are linked,mdash H,link,"{'colligate', 'yoke', 'join', 'relate', 'connect', 'tie', 'unite', 'associate', 'link'}"
pyridyl groups,are involved,Dy coordination,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
pyridyl substituents,are,nitrate ligands,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
pyridyl substituents,involved,nitrate ligands,involve,"{'involve', 'affect', 'demand', 'postulate', 'ask', 'take', 'regard', 'require', 'necessitate', 'imply', 'need'}"
charge balance,be,pyridyl functions,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
charge balance,achieved,pyridyl functions,achieve,"{'reach', 'attain', 'achieve', 'accomplish'}"
middot C7H5O3 minus,is,dihedral angle,be,"{'exist', 'be', 'represent', 'embody', 'equal', 'comprise', 'constitute', 'personify'}"
