subject,predicate,pred freq,object,root,root freq,synonyms
Monocapillary and polycapillary,increase,5,m crystal,increase,7,{'increase'}
Monocapillary and polycapillary designs,are assessed,2,micro m crystal,assess,5,"{'appraise', 'valuate', 'evaluate', 'assess', 'measure', 'tax', 'value'}"
Monocapillary and polycapillary designs,evaluate,4,micro m crystal,evaluate,8,"{'appraise', 'valuate', 'evaluate', 'assess', 'measure', 'value'}"
Monocapillary and polycapillary designs,increase,5,micro m crystal,increase,7,{'increase'}
Fourier coefficients,are analysed,2,Averbach procedures,analyse,5,"{'study', 'psychoanalyse', 'canvass', 'examine', 'analyze', 'dissect', 'psychoanalyze', 'analyse', 'canvas'}"
crystallite size,is,708,presence of strain,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
simple and pragmatic method,is suggested,1,crystallite size distribution,suggest,35,"{'suggest', 'evoke', 'hint', 'propose', 'intimate', 'indicate', 'advise'}"
simple and pragmatic method,determine,11,crystallite size distribution,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
physical profiles,are fitted,2,initio functions,fit,5,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
measured physical profiles,are fitted,2,initio functions of size,fit,5,"{'suit', 'outfit', 'jibe', 'tally', 'check', 'gibe', 'match', 'correspond', 'fit', 'agree', 'meet', 'equip', 'accommodate'}"
size distributions,are compared,7,transmission electron,compare,36,"{'liken', 'equate', 'compare'}"
lecture courses,is,708,crystallographic terminology,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
lecture courses,introduce,2,crystallographic terminology,introduce,6,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
modern diffraction,is,708,macromolecular structure,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
modern diffraction,discuss,6,macromolecular structure,discuss,16,"{'discuss', 'discourse'}"
macromolecular structure,develop,5,macromolecular models,develop,21,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
macromolecular models,develop,5,biostructural information,develop,21,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
macromolecular models,extracting,2,biostructural information,extract,12,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
general aim of the lecture courses,is,708,modern diffraction methodology,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
general aim of the lecture courses,introduce,2,modern diffraction methodology,introduce,6,"{'infix', 'introduce', 'premise', 'insert', 'acquaint', 'preface', 'innovate', 'precede', 'inclose', 'enclose', 'enter', 'present'}"
modern diffraction methodology,is,708,principles of macromolecular structure,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
modern diffraction methodology,discuss,6,principles of macromolecular structure,discuss,16,"{'discuss', 'discourse'}"
principles of macromolecular structure,develop,5,biostructural information from crystallographic literature,develop,21,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
principles of macromolecular structure,extracting,2,biostructural information from crystallographic literature,extract,12,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
crystallographic terminology and modern diffraction methodology,is,708,confidence in assessing macromolecular models,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystallographic terminology and modern diffraction methodology,discuss,6,confidence in assessing macromolecular models,discuss,16,"{'discuss', 'discourse'}"
crystallographic terminology and modern diffraction methodology,develop,5,confidence in assessing macromolecular models,develop,21,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
crystallographic concepts,depending,1,background of the students,depend,12,"{'depend', 'count', 'bet', 'calculate', 'reckon'}"
practical classes,work,1,real models,work,1,"{'function', 'exercise', 'operate', 'work', 'act', 'run', 'process'}"
crystals and lattices,use,2,construction kits,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
construction kits,build,4,secondary structure,build,9,"{'progress', 'construct', 'build', 'establish'}"
real models of crystals and lattices,use,2,protein secondary structure,use,164,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
real models of crystals and lattices,build,4,protein secondary structure,build,9,"{'progress', 'construct', 'build', 'establish'}"
deformation process,causes,5,domain size,cause,9,"{'make', 'do', 'cause', 'stimulate', 'induce'}"
domain size,is,708,saturation value,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
saturation value,is reached,1,severe milling,reach,2,"{'strain', 'gain', 'accomplish', 'contact', 'achieve', 'strive', 'pass', 'attain', 'reach', 'hand', 'hit', 'touch'}"
initial stages,produce,11,size broadening,produce,14,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
initial stages of milling,produce,11,propensity for size broadening,produce,14,"{'produce', 'make', 'develop', 'raise', 'grow', 'acquire', 'farm', 'create'}"
WA analysis,indicated,4,plastic strain,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
Transmission electron,revealed,12,drastic change,reveal,24,"{'disclose', 'show', 'reveal', 'expose', 'display', 'divulge', 'uncover', 'impart', 'discover', 'unveil'}"
64 emsp14 h of milling,indicating,6,existence of size,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
Transmission electron microscopy,revealed,12,drastic change in particle shape,reveal,24,"{'disclose', 'show', 'reveal', 'expose', 'display', 'divulge', 'uncover', 'impart', 'discover', 'unveil'}"
drastic change in particle shape,indicating,6,further increase of the milling time,indicate,22,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
drastic change in particle shape,decreased,1,further increase of the milling time,decrease,1,"{'minify', 'lessen', 'fall', 'diminish', 'decrease'}"
title molecule,is,708,ring system,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
ring system,forms,17,dihedral angle,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
crystal structure,are linked,42,mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
S atom,is,708,component atom,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
heterocyclic ring,shows,34,tetrahedral coordination,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
title moleclue,adopts,28,chair conformation,adopt,37,"{'take', 'assume', 'adopt', 'espouse', 'borrow', 'follow', 'dramatise', 'acquire', 'dramatize', 'embrace'}"
C atoms,have,53,equatorial orientations,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
centrosymmetric dimers,are formed,13,C mdash,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
perfect crystal,is discussed,5,dynamical theory,discuss,16,"{'discuss', 'discourse'}"
inorganic layers,consist,2,P centers,consist,41,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
inorganic layers,alternating,3,P centers,alternate,3,"{'switch', 'interchange', 'understudy', 'flip-flop', 'tack', 'alternate'}"
P centers,joined,5,O atoms,join,9,"{'link', 'conjoin', 'connect', 'join', 'unite'}"
Sn and tetrahedral P centers,joined,5,doubly bridging O atoms,join,9,"{'link', 'conjoin', 'connect', 'join', 'unite'}"
thiourea molecules,is composed,5,tetragonal antiprism,compose,6,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
complex cation,are located,11,twofold axis,locate,24,"{'site', 'situate', 'place', 'settle', 'locate'}"
condensed anion,consists,35,centre of symmetry,consist,41,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
condensed anion,is situated,1,centre of symmetry,situate,4,"{'locate', 'posit', 'situate', 'deposit'}"
title compound,contains,54,dihedral angles,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
asymmetric unit,contains,54,piperazinediium cation,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
chloride bridges,generating,3,polymeric chains,generate,29,"{'sire', 'engender', 'father', 'generate', 'beget', 'render', 'yield', 'mother'}"
Adjacent CdII atoms,are interconnected,3,paired chloride bridges,interconnect,3,"{'interlink', 'complect', 'interconnect'}"
Neighbouring chains,are connected,20,mdash H,connect,34,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
ZnII atom,is coordinated,44,N atoms,coordinate,60,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
Cl atoms,is,708,tetrahedral geometry,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
chemical reaction,be observed,7,crystal structure,observe,29,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
chemical reaction,is,708,crystal structure,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
chemical reaction in a crystal,be observed,7,crystal structure analysis,observe,29,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
chemical reaction in a crystal,is,708,crystal structure analysis,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
process of chemical reaction in a crystal,be observed,7,stepwise crystal structure analysis,observe,29,"{'watch', 'celebrate', 'observe', 'keep', 'remark', 'note', 'detect', 'notice', 'honor', 'honour', 'respect', 'discover', 'mention', 'find'}"
first example,is,708,optical enrichment of a racemic crystal,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
second example,is,708,hydrogen ndash deuterium exchange,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
reaction mechanisms,are clarified,1,powerful method,clarify,1,"{'elucidate', 'clarify'}"
reaction mechanisms,is,708,powerful method,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
pi  ndash  ,occurs,9,furan and benzene,occur,12,"{'hap', 'occur', 'pass', 'happen'}"
pi  ndash  pi  ,occurs,9,furan and benzene rings,occur,12,"{'hap', 'occur', 'pass', 'happen'}"
mononuclear complex,is,708,ZnII ion,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title mononuclear complex,is,708,two deprotonated ppt ligands,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
ZnII atom,is,708,octahedral environment,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
octahedral environment,surrounded,2,O atoms,surround,4,"{'circumvent', 'palisade', 'encircle', 'border', 'environ', 'fence', 'beleaguer', 'smother', 'round', 'ring', 'besiege', 'circle', 'wall', 'skirt', 'surround'}"
mononuclear units,are,282,mdash H,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mononuclear units,linked,8,mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
Adjacent mononuclear units,are,282,O mdash H,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Adjacent mononuclear units,linked,8,O mdash H,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
antiferroelectric phases,studied,6,smectic phases,study,14,"{'study', 'canvass', 'examine', 'read', 'contemplate', 'analyze', 'consider', 'meditate', 'canvas', 'analyse', 'learn'}"
base complex,features,16,vanadyl group,feature,16,"{'boast', 'feature', 'have', 'sport'}"
Schiff base complex,features,16,Schiff base ligand,feature,16,"{'boast', 'feature', 'have', 'sport'}"
title Schiff base complex,features,16,tridentate Schiff base ligand,feature,16,"{'boast', 'feature', 'have', 'sport'}"
NO5 donor set,is based,5,distorted octahedron,base,19,"{'send', 'base', 'establish', 'post', 'found', 'station'}"
supramolecular chains,are found,5,crystal structure,found,28,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
Helical supramolecular chains,are found,5,O mdash H,found,28,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
organic materials,exhibit,3,fast response,exhibit,25,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
CoII cation,is surrounded,2,N atoms,surround,4,"{'circumvent', 'palisade', 'encircle', 'border', 'environ', 'fence', 'beleaguer', 'smother', 'round', 'ring', 'besiege', 'circle', 'wall', 'skirt', 'surround'}"
title compound,shows,34,saturable absorption,show,94,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
S interactions,link,30,molecules in the crystal,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title compound,displays,10,twofold symmetry,display,13,"{'exhibit', 'show', 'reveal', 'display', 'expose'}"
molecule of the title compound,displays,10,crystallographic twofold symmetry,display,13,"{'exhibit', 'show', 'reveal', 'display', 'expose'}"
title compound,is,708,oxidative addition,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,formed,5,oxidative addition,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
stereogenic centres,allows,23,facial selectivity,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
stereogenic centres,understand,6,facial selectivity,understand,8,"{'infer', 'realize', 'understand', 'empathize', 'sympathise', 'empathise', 'translate', 'see', 'realise', 'interpret', 'sympathize'}"
newly created stereogenic centres,allows,23,facial selectivity of the addition,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
newly created stereogenic centres,understand,6,facial selectivity of the addition,understand,8,"{'infer', 'realize', 'understand', 'empathize', 'sympathise', 'empathise', 'translate', 'see', 'realise', 'interpret', 'sympathize'}"
lactone matricarin,is composed,5,chair conformation,compose,6,"{'compile', 'pen', 'compose', 'write', 'indite', 'frame'}"
lactone matricarin,is,708,chair conformation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
chair conformation,is,708,envelope conformation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
chair conformation,fused,4,envelope conformation,fuse,5,"{'combine', 'meld', 'merge', 'immix', 'coalesce', 'conflate', 'flux', 'mix', 'commingle', 'fuse', 'blend'}"
methyl group,determines,3,difference in the packing,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
isatin N atom,determines,3,crystallographic screw axis,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
isatin N atom,are linked,42,crystallographic screw axis,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
isatin N atom,are arranged,9,crystallographic screw axis,arrange,10,"{'put', 'coif', 'order', 'stage', 'format', 'arrange', 'coiffure'}"
isatin N atom,form,27,crystallographic screw axis,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
methyl group on the isatin N atom,determines,3,crystallographic screw axis in the a direction,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
methyl group on the isatin N atom,are linked,42,crystallographic screw axis in the a direction,link,88,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
methyl group on the isatin N atom,are arranged,9,crystallographic screw axis in the a direction,arrange,10,"{'put', 'coif', 'order', 'stage', 'format', 'arrange', 'coiffure'}"
methyl group on the isatin N atom,form,27,crystallographic screw axis in the a direction,form,86,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
supramolecular aggregation,is completed,7,mdash H,complete,9,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
title compound,are,282,anticipated values,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Analysis of the structure,does,19,significant differences,do,30,"{'make', 'fare', 'answer', 'exercise', 'do', 'perform', 'suffice', 'execute', 'behave', 'act', 'practise', 'cause', 'practice'}"
Analysis of the structure,reveal,7,significant differences,reveal,24,"{'disclose', 'show', 'reveal', 'expose', 'display', 'divulge', 'uncover', 'impart', 'discover', 'unveil'}"
famotidine form,has been,89,diffraction data,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
famotidine form,solved,9,diffraction data,solve,15,"{'solve', 'lick', 'resolve'}"
core of this work,is,708,systematic investigation,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
sampling method,have,53,little effect,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
crystallographic search space restrictions,have,53,little effect on the structure solution process,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
basic principles elucidated here,have been,53,DASH structure solution,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
benzofuran and indole moieties,are,282,attached phenyl ring,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
O interactions,stabilize,9,molecular structure,stabilize,46,"{'brace', 'stabilise', 'steady', 'stabilize'}"
crystal structure,is dominated,1,Waals forces,dominate,2,"{'overlook', 'overtop', 'prevail', 'rule', 'reign', 'command', 'predominate', 'dominate', 'master'}"
synchrotron sources,is,708,data sets,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
synchrotron sources,collect,3,data sets,collect,21,"{'accumulate', 'compile', 'gather', 'amass', 'garner', 'hoard', 'collect'}"
modern detectors and synchrotron sources,is,708,complete data sets,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
modern detectors and synchrotron sources,collect,3,complete data sets,collect,21,"{'accumulate', 'compile', 'gather', 'amass', 'garner', 'hoard', 'collect'}"
most efficient use,is,708,collection and processing,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
most efficient use,automate,2,collection and processing,automate,2,"{'automatize', 'automatise', 'automate'}"
most efficient use of these resources,is,708,collection and processing of the diffraction data,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
most efficient use of these resources,automate,2,collection and processing of the diffraction data,automate,2,"{'automatize', 'automatise', 'automate'}"
communication path,takes,5,project information,take,21,"{'convey', 'bring', 'guide', 'read', 'assume', 'demand', 'adopt', 'conduct', 'direct', 'occupy', 'lead', 'involve', 'postulate', 'take', 'require', 'necessitate', 'ask', 'need', 'acquire'}"
communication path,based,14,project information,base,19,"{'send', 'base', 'establish', 'post', 'found', 'station'}"
single crystals,is described,9,specimen rotation,describe,24,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
single crystals,has,89,specimen rotation,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
crystallographic directions,remain,2,intensity measurements,remain,2,"{'persist', 'remain', 'continue', 'rest', 'stay'}"
other crystallographic directions in the specimen,remain,2,course of intensity measurements,remain,2,"{'persist', 'remain', 'continue', 'rest', 'stay'}"
RMD diffractometer,allows,23,structural changes,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
designed RMD diffractometer,allows,23,electron distribution variations,allow,33,"{'provide', 'let', 'countenance', 'earmark', 'appropriate', 'leave', 'admit', 'permit', 'grant', 'allow', 'reserve'}"
The title compounds,are,282,Tolman angles,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
middot 5CH4O middot 4H2O,contains,54,asymmetric dinuclear,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
MnII cations,have,53,octahedral coordination,have,146,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
One MnII cation,is coordinated,44,Cl minus  anion,coordinate,60,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
metal foils,were,29,fluorescent sample,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
measured attenuation,includes,6,photoelectric absorption,include,17,"{'include', 'admit'}"
unit area,was,146,impurity concentration,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
unit area,determined,33,impurity concentration,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
unit area,weighing,2,impurity concentration,weigh,2,"{'weigh', 'count', 'matter', 'consider', 'librate', 'press'}"
unit area of a foil,was,146,impurity concentration by fluorescence analysis,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
unit area of a foil,determined,33,impurity concentration by fluorescence analysis,determine,62,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
unit area of a foil,weighing,2,impurity concentration by fluorescence analysis,weigh,2,"{'weigh', 'count', 'matter', 'consider', 'librate', 'press'}"
secondary radiation,were resolved,3,singular value,resolve,6,"{'solve', 'conclude', 'purpose', 'answer', 'resolve', 'decide', 'settle', 'adjudicate', 'dissolve'}"
components of the fluorescent radiation,were resolved,3,singular value decomposition,resolve,6,"{'solve', 'conclude', 'purpose', 'answer', 'resolve', 'decide', 'settle', 'adjudicate', 'dissolve'}"
general agreement,is,708,low energies,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
energies just above the absorption,edges,3,present values,edge,3,"{'edge', 'abut', 'border', 'inch', 'butt', 'march', 'adjoin'}"
theoretical values,is,708,Fock ndash,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
theoretical values,edges,3,Fock ndash,edge,3,"{'edge', 'abut', 'border', 'inch', 'butt', 'march', 'adjoin'}"
theoretical values,are,282,Fock ndash,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
experimental and theoretical values,is,708,at low energies and at energies just above the absorption,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
previous experimental and theoretical values,is,708,theoretical values based on relativistic HFS,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
previous experimental and theoretical values,edges,3,theoretical values based on relativistic HFS,edge,3,"{'edge', 'abut', 'border', 'inch', 'butt', 'march', 'adjoin'}"
previous experimental and theoretical values,are,282,theoretical values based on relativistic HFS,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
anharmonic temperature,is,708,displacement parameters,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
solid state,obtained,22,vibrational data,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
other characteristics of molecular motion,obtained,22,independent vibrational data,obtain,41,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
middot H2PO4 minus  ,contains,54,dihydrogenphosphate anions,contain,69,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
P hydrogen bonds,are,282,O mdash H,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
magnetic field,applied,7,lateral face,apply,19,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
presence of a magnetic field,applied,7,lateral face of a cylinder,apply,19,"{'utilize', 'use', 'employ', 'implement', 'apply', 'enforce', 'utilise', 'practice'}"
novel aspect,is,708,calcium solubility,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
novel aspect of this work,is,708,calcium solubility at the strontium site,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
configuration assignment,was,146,starting material,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
configuration assignment,based,14,starting material,base,19,"{'send', 'base', 'establish', 'post', 'found', 'station'}"
absolute configuration assignment,was,146,chirality of the starting material,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
absolute configuration assignment,based,14,chirality of the starting material,base,19,"{'send', 'base', 'establish', 'post', 'found', 'station'}"
title compound,was,146,space group,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
syncytial virus,is,708,frequent cause,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
respiratory illness,is,708,drug treatment,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Respiratory syncytial virus,is,708,frequent cause of respiratory illness,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
frequent cause of respiratory illness,is,708,effective drug treatment,be,1431,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
