subject,predicate,object,root,synonyms
crystallographically independent chains,is formed,alternating independent molecules,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
beam splitter,was,metal foil,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
interference pattern,was,spectral range,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
interference pattern,studied,spectral range,study,"{'study', 'canvass', 'examine', 'read', 'contemplate', 'analyze', 'consider', 'meditate', 'canvas', 'analyse', 'learn'}"
interference pattern,using,spectral range,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
Escherichia coli,is,rRNA methyltransferase,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
rRNA methyltransferase,is,m2G2445 modification of 23S RNA,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
rlmL gene,was,expression vector,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
rlmL gene,cloned,expression vector,clone,{'clone'}
final crystals,diffracted,emsp14  Aring  resolution,diffract,{'diffract'}
coordination polyhedron,is,trigonal prism,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
coordination polyhedron,be described,trigonal prism,describe,"{'report', 'delineate', 'line', 'identify', 'distinguish', 'account', 'key', 'depict', 'name', 'draw', 'discover', 'describe', 'trace'}"
oxalate ions,give,dinuclear Nd2 unit,give,"{'pay', 'have', 'afford', 'yield', 'hold', 'throw', 'gift', 'present', 'give'}"
water molecules,are located,host framework,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
water molecules,make,host framework,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
coordinating and free water molecules,are located,O mdash H,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
coordinating and free water molecules,make,O mdash H,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
title molecule,are tilted,respect to the benzene,tilt,"{'angle', 'lean', 'slant', 'pitch', 'shift', 'cant', 'tip', 'tilt', 'careen', 'wobble'}"
synchrotron radiation,processed,emsp14  Aring  resolution,process,"{'litigate', 'treat', 'sue', 'work', 'action', 'march', 'process'}"
N hydrogen,link,centrosymmetric dimers,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
significance of this study,lies,crystal structures,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
solvent molecules,is located,inversion centre,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
one and a half dioxane molecules,is located,crystallographic inversion centre,locate,"{'site', 'situate', 'place', 'settle', 'locate'}"
donor set,is defined,dithiocarbamate ligands,define,"{'delimitate', 'delineate', 'delimit', 'define', 'specify'}"
twofold axis,is,coordination environment,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
complex molecules,are connected,mdash H,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
acid molecule,assumes,coordination mode,assume,"{'don', 'assume', 'usurp', 'adopt', 'feign', 'sham', 'presume', 'accept', 'simulate', 'bear', 'seize', 'acquire', 'wear', 'arrogate', 'take'}"
acid molecule,chelating,coordination mode,chelate,{'chelate'}
CuII ion,is completed,bipyridine ligand,complete,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
geometry around the CuII ion,is completed,bridging bipyridine ligand,complete,"{'dispatch', 'nail', 'discharge', 'complete', 'finish'}"
Adjacent complexes,are connected,mdash H,connect,"{'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
hydrogen bonds,generate,supramolecular structure,generate,"{'sire', 'engender', 'father', 'generate', 'beget', 'render', 'yield', 'mother'}"
title molecule,is twisted,dihedral angle,twist,"{'flex', 'bend', 'wrench', 'convolute', 'twist', 'twine', 'wrick', 'pervert', 'deform', 'sprain', 'worm', 'writhe', 'wrestle', 'squirm', 'wriggle', 'distort', 'rick', 'sophisticate'}"
N interactions,lead,supramolecular layers,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
prior information,is,empirical foundation,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
prior information,revisiting,empirical foundation,revisit,{'revisit'}
distribution function,has been,PDB growth,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
distribution function,updated,PDB growth,update,{'update'}
Matthews probability distribution function,has been,rapid PDB growth,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Matthews probability distribution function,updated,rapid PDB growth,update,{'update'}
original Matthews probability distribution function,has been,ten years of rapid PDB growth,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
original Matthews probability distribution function,updated,ten years of rapid PDB growth,update,{'update'}
nonparametric kernel,has been,multiple parameters,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
nonparametric kernel,implemented,multiple parameters,implement,"{'enforce', 'implement', 'apply'}"
nonparametric kernel,calculate,multiple parameters,calculate,"{'depend', 'count', 'compute', 'bet', 'figure', 'calculate', 'reckon', 'account', 'cipher', 'forecast', 'estimate', 'cypher', 'aim'}"
nonparametric kernel,avoiding,multiple parameters,avoid,"{'void', 'avoid', 'annul', 'nullify', 'deflect', 'invalidate', 'obviate', 'avert', 'debar', 'quash'}"
nonparametric kernel density,has been,empirical fit function,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
nonparametric kernel density,implemented,empirical fit function,implement,"{'enforce', 'implement', 'apply'}"
nonparametric kernel density,calculate,empirical fit function,calculate,"{'depend', 'count', 'compute', 'bet', 'figure', 'calculate', 'reckon', 'account', 'cipher', 'forecast', 'estimate', 'cypher', 'aim'}"
nonparametric kernel density,avoiding,empirical fit function,avoid,"{'void', 'avoid', 'annul', 'nullify', 'deflect', 'invalidate', 'obviate', 'avert', 'debar', 'quash'}"
molecular weight,have,practical effect,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
practical effect,is,oligomerization state,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
low molecular weight,have,correlation with oligomerization state,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
low molecular weight,is,correlation with oligomerization state,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
symmetry and molecular weight,is,simple linear or categorical models,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
symmetry and molecular weight,be,simple linear or categorical models,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
symmetry and molecular weight,explained,simple linear or categorical models,explain,"{'explain', 'explicate', 'excuse'}"
kernel density,is implemented,primary option,implement,"{'enforce', 'implement', 'apply'}"
kernel density estimator,is implemented,MATTPROB web application,implement,"{'enforce', 'implement', 'apply'}"
title compound,appears,zinc complex,appear,"{'seem', 'appear', 'look'}"
title compound,be,zinc complex,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N mean planes,is,average Zn mdash,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N atoms,define,Mo atom,define,"{'delimitate', 'delineate', 'delimit', 'define', 'specify'}"
cations and anions,lie,twofold axes,lie,"{'belong', 'consist', 'lie', 'rest', 'dwell'}"
title compound,comprises,base ligand,comprise,"{'represent', 'constitute', 'be', 'consist', 'comprise', 'incorporate', 'contain'}"
N and O,were refined,site occupancies,refine,"{'elaborate', 'fine-tune', 'complicate', 'down', 'rectify', 'rarify', 'polish', 'refine'}"
boat conformation,is,dihedral angle,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
absolute structure,was,dispersion effects,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
absolute structure,established,dispersion effects,establish,"{'constitute', 'institute', 'show', 'base', 'plant', 'shew', 'establish', 'found', 'install', 'build', 'launch', 'prove', 'demonstrate'}"
title compound,consists,buckled sheets,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
title compound,held,buckled sheets,hold,"{'restrain', 'moderate', 'keep', 'maintain', 'curb', 'check', 'bear', 'carry', 'have', 'control', 'hold', 'confine', 'give', 'deem', 'contain'}"
crystal structure of the title compound,consists,network of hydrogen bonds,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
crystal structure of the title compound,held,network of hydrogen bonds,hold,"{'restrain', 'moderate', 'keep', 'maintain', 'curb', 'check', 'bear', 'carry', 'have', 'control', 'hold', 'confine', 'give', 'deem', 'contain'}"
title compound,is generated,inversion center,generate,"{'sire', 'engender', 'father', 'generate', 'beget', 'render', 'yield', 'mother'}"
benzimidazole ring,make,dihedral angle,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
imidazolidine ring,adopts,twisted conformation,adopt,"{'take', 'assume', 'adopt', 'espouse', 'borrow', 'follow', 'dramatise', 'acquire', 'dramatize', 'embrace'}"
double bond,has,E configuration,have,"{'consume', 'let', 'get', 'receive', 'own', 'give', 'experience', 'have', 'possess', 'feature', 'hold', 'ingest', 'undergo'}"
inversion dimers,linked,mdash H,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
title compound,was,epimerization reaction,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,formed,epimerization reaction,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
aromatic rings,is,maximum deviation,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hydrogen bond,exhibits,chair conformation,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
N hydrogen bond,exhibits,slightly distorted chair conformation,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
amino group,is,carboxyl group,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
carboxyl group,is,phenol ring,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
structure of the title compound,is,plane of the carboxyl group,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
protonated amino and carboxyl groups,using,available hydrogen bonds,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
O atom,occupies,apical position,occupy,"{'invade', 'busy', 'occupy', 'interest', 'absorb', 'worry', 'engross', 'engage', 'fill', 'reside', 'concern', 'take', 'inhabit'}"
hydrogen bonds,lead,supramolecular chains,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
hydrogen bonds,zigzag,supramolecular chains,zigzag,"{'zigzag', 'crank'}"
investigated crystal,was,minor component,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
investigated crystal,twinned,minor component,twin,"{'couple', 'pair', 'twin', 'parallel', 'match', 'mate', 'duplicate'}"
title compound,adopts,envelope conformation,adopt,"{'take', 'assume', 'adopt', 'espouse', 'borrow', 'follow', 'dramatise', 'acquire', 'dramatize', 'embrace'}"
bond length,indicate,H atom,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
O bond length,indicate,H atom as O,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
crystal structure,was,situ cryocrystallization,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
crystal structure,obtained,situ cryocrystallization,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
earlier known Z prime  ,was,situ cryocrystallization technique,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
earlier known Z prime  ,obtained,situ cryocrystallization technique,obtain,"{'prevail', 'get', 'incur', 'receive', 'obtain'}"
title compound,exists,zwitterionic form,exist,"{'be', 'survive', 'live', 'subsist', 'exist'}"
hydrogen bonds,link,bc plane,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
O hydrogen bonds,link,parallel to the bc plane,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
gauche torsion,constitute,conformational corner,constitute,"{'represent', 'constitute', 'be', 'form', 'institute', 'appoint', 'comprise', 'nominate', 'found', 'establish', 'plant', 'name'}"
hydrogen bonds,link,centrosymmetric tetramers,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
O hydrogen bonds,link,weak intermolecular pyrimidine,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
O hydrogen bonds,are,weak intermolecular pyrimidine,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mirror symmetry,is,rest of the host,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
mirror symmetry,is constrained,rest of the host,constrain,"{'constrain', 'restrain', 'tighten', 'cumber', 'stiffen', 'encumber'}"
mirror symmetry,fold,rest of the host,fold,"{'fold', 'close'}"
Mycobacterium tuberculosis,suggest,cofactor or catalytic,suggest,"{'suggest', 'evoke', 'hint', 'propose', 'intimate', 'indicate', 'advise'}"
cofactor or catalytic,differ,Mycobacterium species,differ,"{'disagree', 'dissent', 'differ'}"
putative PNPOx from Mycobacterium tuberculosis,suggest,the cofactor or catalytic mechanism,suggest,"{'suggest', 'evoke', 'hint', 'propose', 'intimate', 'indicate', 'advise'}"
O interactions,link,crystal structure,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
O interactions,are,crystal structure,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
neighbouring molecules,is found,molecular complex,found,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
trigonal prismatic coordination,is,Ge or Si atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
metallic nature,is indicated,interatomic distances,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
metallic nature of the bonding,is indicated,electronic structure calculations,indicate,"{'signal', 'bespeak', 'suggest', 'show', 'indicate', 'argue', 'betoken', 'point'}"
title  pi,forms,crystalline complex,form,"{'organize', 'form', 'constitute', 'spring', 'mould', 'forge', 'mold', 'imprint', 'organise', 'shape'}"
title compound,consists,intermolecular contacts,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
crystal structure of the title compound,consists,relatively isolated molecules,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
C alpha  ,provide,more complete models,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
C alpha  positions,provide,reconstruction of more complete models,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
C alpha  positions for a protein,provide,scaffold for the reconstruction of more complete models,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
reconstruction program,assesses,accuracy and reliability,assess,"{'appraise', 'valuate', 'evaluate', 'assess', 'measure', 'tax', 'value'}"
database reconstruction program,assesses,test reconstructions of well refined structures,assess,"{'appraise', 'valuate', 'evaluate', 'assess', 'measure', 'tax', 'value'}"
backbone atoms,are repositioned,original positions,reposition,"{'reposition', 'shift', 'dislodge'}"
CALPHA polyalanine model,is found,approximately correct orientations,found,"{'constitute', 'institute', 'base', 'establish', 'found', 'plant', 'launch'}"
CALPHA polyalanine model,provide,approximately correct orientations,provide,"{'provide', 'furnish', 'leave', 'supply', 'ply', 'cater', 'render', 'allow'}"
effect on the translation function,is,resolution shell employed,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
molecular structure,is stabilized,mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
pi  interactions,stabilize,crystal structure,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
four N atoms,is,octahedral geometry,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
hippuric acid,is involved,hydrogen bond,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
hippuric acid anion,is involved,intramolecular hydrogen bond,involve,"{'imply', 'require', 'demand', 'necessitate', 'involve', 'affect', 'ask', 'need', 'postulate', 'take', 'regard'}"
nonspecific manner,induce,bent DNA,induce,"{'make', 'hasten', 'rush', 'cause', 'induct', 'stimulate', 'induce'}"
nonspecific manner,stabilize,bent DNA,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
structural comparison,showed,flexible nature,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
simulation data,suggested,basic residues,suggest,"{'suggest', 'evoke', 'hint', 'propose', 'intimate', 'indicate', 'advise'}"
basic residues,play,central role,play,"{'play', 'spiel', 'act'}"
MD simulation data,suggested,successive basic residues,suggest,"{'suggest', 'evoke', 'hint', 'propose', 'intimate', 'indicate', 'advise'}"
flexible  beta,exhibiting,remarkable role,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
EMSAs with various DNAs,revealed,deformable DNA,reveal,"{'disclose', 'show', 'reveal', 'expose', 'display', 'divulge', 'uncover', 'impart', 'discover', 'unveil'}"
local shape,are,residues 50 ndash 80,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
local shape,consisting,residues 50 ndash 80,consist,"{'belong', 'consist', 'comprise', 'lie', 'dwell'}"
charge balance,is achieved,ethylenediammonium cations,achieve,"{'attain', 'reach', 'accomplish', 'achieve'}"
first category,assumes,shape identity of the  alpha 1,assume,"{'don', 'assume', 'usurp', 'adopt', 'feign', 'sham', 'presume', 'accept', 'simulate', 'bear', 'seize', 'acquire', 'wear', 'arrogate', 'take'}"
present method,be extended,alpha 2 lines,extend,"{'extend', 'exsert', 'lead', 'stretch', 'go', 'expand', 'pass', 'broaden', 'widen', 'offer', 'run', 'cover'}"
present method,remove,alpha 2 lines,remove,"{'transfer', 'dispatch', 'remove', 'withdraw', 'absent', 'slay', 'murder'}"
cone conformation,is stabilized,hydrogen bonds,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
cone conformation adopted by the macrocycle,is stabilized,intramolecular hydrogen bonds,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
adjacent molecule,gives,c axis,give,"{'pay', 'have', 'afford', 'yield', 'hold', 'throw', 'gift', 'present', 'give'}"
methyl ester chain in the cavity of an adjacent molecule,gives,chains parallel to the c axis,give,"{'pay', 'have', 'afford', 'yield', 'hold', 'throw', 'gift', 'present', 'give'}"
site symmetry,is coordinated,O atoms,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
chain motif,is,mdash H,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
chain motif,interlinked,mdash H,interlink,"{'interlink', 'complect', 'interconnect'}"
CdII atoms into a chain motif,is,O mdash H,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
CdII atoms into a chain motif,interlinked,O mdash H,interlink,"{'interlink', 'complect', 'interconnect'}"
stacking faults,are,Bernoullian model,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Bernoullian model,leads,Lorentzian profiles,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
resulting calculations,show,good fit,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
Lorentzian profiles and the resulting calculations,show,good fit with experiment,show,"{'show', 'testify', 'depict', 'demo', 'indicate', 'picture', 'display', 'evince', 'shew', 'render', 'express', 'present', 'evidence', 'prove', 'point', 'exhibit', 'reveal', 'establish', 'demonstrate'}"
thin films,deposited,cruciform substrate,deposit,"{'deposit', 'situate', 'posit', 'wedge', 'bank', 'lodge', 'stick'}"
cruciform substrate,using,testing machine,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
testing machine,developed,DiffAbs beamline,develop,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
Cu nanocomposite thin films,deposited,biaxial testing machine,deposit,"{'deposit', 'situate', 'posit', 'wedge', 'bank', 'lodge', 'stick'}"
Cu nanocomposite thin films,using,biaxial testing machine,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
biaxial testing machine,developed,DiffAbs beamline at the Synchrotron SOLEIL,develop,"{'produce', 'educate', 'develop', 'evolve', 'explicate', 'uprise', 'prepare', 'grow', 'germinate', 'formulate', 'acquire', 'train', 'rise', 'originate', 'arise'}"
polyamidoamine dendrimer,was,conformation parameters,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
polyamidoamine dendrimer,measured,conformation parameters,measure,"{'appraise', 'valuate', 'evaluate', 'measure', 'assess', 'quantify', 'value'}"
soft shell,extracted,scattering data,extract,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
thickness of the soft shell etc,extracted,model fitting to the scattering data,extract,"{'elicit', 'evoke', 'extract', 'distill', 'distil', 'educe', 'excerpt', 'express'}"
Its structure,be viewed,parallel to the a axis,view,"{'watch', 'see', 'consider', 'reckon', 'view', 'regard'}"
title compound,contain,asymmetric unit,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
Crystals of the title compound,contain,one molecule per asymmetric unit,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
previous studies,have reported,species oligomerizes,report,"{'account', 'cover', 'describe', 'report'}"
Two PPh3 ligands,are,trans positions,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
Structural parameters,are,crystal structure,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
antimalarial drug,is,controversial issue,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
transform ndash,is used,crystal structure,use,"{'utilize', 'use', 'employ', 'apply', 'expend', 'habituate', 'utilise', 'practice'}"
transform ndash,determine,crystal structure,determine,"{'watch', 'ascertain', 'find', 'regulate', 'see', 'limit', 'mold', 'decide', 'determine', 'settle', 'fix', 'influence', 'learn', 'shape', 'set', 'specify'}"
Such changes,lead,biological activity,lead,"{'head', 'extend', 'top', 'lead', 'conduce', 'go', 'pass', 'run', 'leave', 'guide', 'contribute', 'result', 'conduct', 'direct', 'take'}"
title compound,contains,C mdash,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
crystal structure of the title compound,contains,C mdash H,contain,"{'moderate', 'curb', 'check', 'bear', 'carry', 'comprise', 'arrest', 'incorporate', 'control', 'stop', 'hold', 'contain'}"
F atom,is,N atom,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
F atom,compete,N atom,compete,"{'vie', 'compete', 'contend'}"
aromatic H,is,methylene H,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
aromatic H,interact,methylene H,interact,{'interact'}
F atom in the CF3 group,is,aromatic H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
F atom in the CF3 group,compete,aromatic H atoms,compete,"{'vie', 'compete', 'contend'}"
aromatic H atoms,is,methylene H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
aromatic H atoms,interact,methylene H atoms,interact,{'interact'}
N atom for aromatic H atoms,is,more acidic methylene H atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
N atom for aromatic H atoms,interact,more acidic methylene H atoms,interact,{'interact'}
torsion angle,is,planar phenyl,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
planar phenyl,exhibits,typical deformation,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
ndash CH2CN torsion angle,is,planar phenyl ring,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
planar phenyl ring,exhibits,typical deformation of the endo angles,exhibit,"{'exhibit', 'parade', 'show', 'expose', 'display', 'present', 'demo', 'march', 'demonstrate'}"
rational functions,being,appropriate integers,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
arctangent function and rational functions,being,appropriate integers and r a distance,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
CF expressions,make,numerical determination,make,"{'produce', 'make', 'do', 'create', 'cause', 'draw', 'stimulate', 'induce'}"
title compound,are,O atoms,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
title compound,coordinated,O atoms,coordinate,"{'organize', 'ordinate', 'organise', 'align', 'coordinate'}"
aromatic rings,are oriented,dihedral angle,orient,"{'orient', 'point', 'orientate'}"
title molecule,exists,solid state,exist,"{'be', 'survive', 'live', 'subsist', 'exist'}"
hydrogen bond,stabilizes,molecular conformation,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
O hydrogen bond,stabilizes,N mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
S hydrogen,link,centrosymmetric dimers,link,"{'yoke', 'tie', 'associate', 'link', 'relate', 'connect', 'colligate', 'join', 'unite'}"
indole unit,is,dihedral angle,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
unit cell,are stabilized,mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
molecules in the unit cell,are stabilized,C mdash H,stabilize,"{'brace', 'stabilise', 'steady', 'stabilize'}"
emsp14  Aring  resolution,appear,structure determination,appear,"{'seem', 'appear', 'look'}"
title compound,is,maximum deviation,be,"{'represent', 'constitute', 'be', 'embody', 'comprise', 'equal', 'exist', 'personify'}"
